76
0,inti,0,-1
1,,,0,-1
2,ID,11,0
3,,,0,-1
4,ID,12,0
5,,,0,-1
6,ID,4,0
7,;,0,-1
8,say,0,-1
9,(,0,-1
10,CONST,7,0
11,),0,-1
12,;,0,-1
13,giveInti,0,-1
14,(,0,-1
15,),0,-1
16,;,0,-1
17,say,0,-1
18,(,0,-1
19,CONST,7,0
20,),0,-1
21,;,0,-1
22,giveInti,0,-1
23,(,0,-1
24,ID,11,0
25,),0,-1
26,;,0,-1
27,say,0,-1
28,(,0,-1
29,CONST,7,0
30,),0,-1
31,;,0,-1
32,giveInti,0,-1
33,(,0,-1
34,ID,12,0
35,),0,-1
36,;,0,-1
37,hmm,0,-1
38,(,0,-1
39,>,0,-1
40,ID,11,0
41,),0,-1
42,{,0,-1
43,ID,4,0
44,=,0,-1
45,;,0,-1
46,},0,-1
47,nah,0,-1
48,{,0,-1
49,ID,4,0
50,=,0,-1
51,ID,11,0
52,;,0,-1
53,},0,-1
54,hmm,0,-1
55,(,0,-1
56,ID,4,0
57,<,0,-1
58,ID,12,0
59,),0,-1
60,{,0,-1
61,ID,4,0
62,=,0,-1
63,ID,12,0
64,;,0,-1
65,},0,-1
66,say,0,-1
67,(,0,-1
68,CONST,5,0
69,),0,-1
70,;,0,-1
71,sayInti,0,-1
72,(,0,-1
73,ID,4,0
74,),0,-1
75,;,0,-1
